,0,1,2,3,4,5,6,7,8,9
52,0.58,0.31,0.01,0.84,0.18,0.37,0.87,0.46,1.0,0.28295522406322837
53,0.58,0.31,0.01,0.84,0.18,0.37,0.87,0.46,1.0,0.28349704037747503
54,0.58,0.31,0.01,0.84,0.18,0.37,0.87,0.46,1.0,0.2842483631576656
55,0.58,0.31,0.01,0.84,0.18,0.37,0.87,0.46,1.0,0.2847821986290768
56,0.58,0.31,0.01,0.84,0.18,0.37,0.87,0.46,1.0,0.28655733528157623
57,0.58,0.31,0.01,0.84,0.18,0.37,0.87,0.46,1.0,0.2870820005393437
58,0.58,0.31,0.01,0.84,0.18,0.37,0.87,0.46,1.0,0.28728737102539087
59,0.58,0.31,0.01,0.84,0.18,0.37,0.87,0.46,1.0,0.2886731393746648
60,0.58,0.31,0.01,0.84,0.18,0.37,0.87,0.46,1.0,0.29046484012592433
61,0.58,0.31,0.01,0.84,0.18,0.37,0.87,0.46,1.0,0.2924716901219675
62,0.58,0.31,0.01,0.84,0.18,0.37,0.87,0.46,1.0,0.293592084020744
63,0.58,0.31,0.01,0.84,0.18,0.37,0.87,0.46,1.0,0.2937028052221672
64,0.58,0.31,0.01,0.84,0.18,0.37,0.87,0.46,1.0,0.29405808577674536
65,0.58,0.31,0.01,0.84,0.18,0.37,0.87,0.46,1.0,0.2956504749907803
66,0.58,0.31,0.01,0.84,0.18,0.37,0.87,0.46,1.0,0.29653235734662936
67,0.58,0.31,0.01,0.84,0.18,0.37,0.87,0.46,1.0,0.29740491566754645
68,0.58,0.31,0.01,0.84,0.18,0.37,0.87,0.46,1.0,0.2992746101589467
69,0.58,0.31,0.01,0.84,0.18,0.37,0.87,0.46,1.0,0.29946865910531906
70,0.58,0.31,0.01,0.84,0.18,0.37,0.87,0.46,1.0,0.3007443665174931
71,0.58,0.31,0.01,0.84,0.18,0.37,0.87,0.46,1.0,0.30096973229846047
72,0.58,0.31,0.01,0.84,0.18,0.37,0.87,0.46,1.0,0.3030141855236792
73,0.58,0.31,0.01,0.84,0.18,0.37,0.87,0.46,1.0,0.3034031082005879
74,0.58,0.31,0.01,0.84,0.18,0.37,0.87,0.46,1.0,0.3039404437899377
75,0.58,0.31,0.01,0.84,0.18,0.37,0.87,0.46,1.0,0.30695024650790026
76,0.58,0.31,0.01,0.84,0.18,0.37,0.87,0.46,1.0,0.3073047276726266
77,0.58,0.31,0.01,0.84,0.18,0.37,0.87,0.46,1.0,0.3075976882696258
78,0.58,0.31,0.01,0.84,0.18,0.37,0.87,0.46,1.0,0.30826177800178195
79,0.58,0.31,0.01,0.84,0.18,0.37,0.87,0.46,0.0,0.3083906442765937
80,0.58,0.31,0.01,0.84,0.18,0.37,0.87,0.46,1.0,0.3095291855697846
81,0.58,0.31,0.01,0.84,0.18,0.37,0.87,0.46,1.0,0.3128221964885275
82,0.58,0.31,0.01,0.84,0.18,0.37,0.87,0.46,1.0,0.31506968855900963
83,0.58,0.31,0.01,0.84,0.18,0.37,0.87,0.46,1.0,0.3163693300092261
84,0.58,0.31,0.01,0.84,0.18,0.37,0.87,0.46,1.0,0.31637028732629857
85,0.58,0.31,0.01,0.84,0.18,0.37,0.87,0.46,1.0,0.31688480554158405
86,0.58,0.31,0.01,0.84,0.18,0.37,0.87,0.46,1.0,0.3195677395135852
87,0.58,0.31,0.01,0.84,0.18,0.37,0.87,0.46,1.0,0.32000322724782804
88,0.58,0.31,0.01,0.84,0.18,0.37,0.87,0.46,1.0,0.322037989064784
89,0.58,0.31,0.01,0.84,0.18,0.37,0.87,0.46,0.0,0.32352853525457814
90,0.58,0.31,0.01,0.84,0.18,0.37,0.87,0.46,1.0,0.3237547757301997
91,0.58,0.31,0.01,0.84,0.18,0.37,0.87,0.46,0.0,0.32389350421732543
92,0.58,0.31,0.01,0.84,0.18,0.37,0.87,0.46,1.0,0.3250271868111401
93,0.58,0.31,0.01,0.84,0.18,0.37,0.87,0.46,1.0,0.32515207957516157
94,0.58,0.31,0.01,0.84,0.18,0.37,0.87,0.46,1.0,0.32872582614323526
